Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-002387,9/17/2019,12:36:00 PM,ROSS BUILDING - SOUTH TOWER,Damage,University Property,A community member reported damage to a third floor office suite door. The cause of the damage was not determined.
2019-002388,9/17/2019,1:15:00 PM,ACCOLADE EAST,Emergency Medical,Slip/Trip/Fall,Security and EMS responded to a report that a community member tripped and fell in the building. Medical care was declined.
2019-002390,9/17/2019,1:38:00 PM,PARKING LOT - THOMPSON ROAD VISITORS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the parking lot.
2019-002389,9/17/2019,2:50:00 PM,TATHAM HALL RESIDENCE,Suspicious Persons,Subject not Identified,Security and Residence Life staff responded to a report of an unknown male acting in a suspicious manner inside the residence. A description of the male was obtained.
2019-002391,9/17/2019,4:58:00 PM,LIFE SCIENCES BUILDING,Suspicious Persons,Subject not Identified,A community member reported being followed by an unknown male while walking near the Life Sciences Building. A description of the male was obtained.
2019-002394,9/17/2019,7:02:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended in a basement level classroom.
2019-002396,9/18/2019,9:18:00 AM,ACCOLADE EAST,Fraud,Cash\Currency,A community member reported being defrauded of a quantity of money by an unknown male who offered locker rentals without authorization. A description of the suspect was obtained.
2019-002403,9/18/2019,10:28:00 AM,YORK LANES RETAIL,Emergency Medical,Existing Medical Condition,Security responded to a report of an individual experiencing symptoms of an existing medical condition. Medical care was declined.
2019-002398,9/18/2019,10:37:00 AM,GLENDON COLLEGE - YORK HALL,Disorderly Behaviour,Belligerent Person,Security responded to a report that an unknown female was acting in a belligerent manner towards several community members in the dining hall. A description of the female was obtained.
2019-002399,9/18/2019,11:33:00 AM,STEDMAN LECTURE HALLS,"Theft, Under $5000",Private Property,Complainant reported the theft of cash and bank cards from a wallet left unattended in a lecture hall.
2019-002401,9/18/2019,11:39:00 AM,ACCOLADE EAST,Fraud,Cash\Currency,A community member reported being defrauded of a quantity of money by an unknown male who offered locker rentals without authorization. A description of the suspect was obtained.
2019-002402,9/18/2019,12:35:00 PM,PARKING LOT 1 - YORK BLVD,Motor Vehicle Incident,Fail to Remain,Security responded to a report of a collision between two vehicles in the parking lot. No injuries were reported. A licence plate number of the suspect vehicle was obtained.
2019-002404,9/18/2019,3:45:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member was experiencing a sudden illness on the first floor. First aid was provided on scene. EMS transported the individual to hospital for further medical care.
2019-002406,9/18/2019,7:21:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",University Property,A Security patrol reported paint damage on the passenger side of a university vehicle. A description of a suspect was obtained.
2019-002407,9/18/2019,10:25:00 PM,YORK LANES RETAIL,Disorderly Behaviour,Intoxicated Person,"Security, Toronto Police and EMS responded to a report that a community member was intoxicated and acting in a belligerent manner. The community member was identified and directed to leave campus in the care of a friend."
2019-002408,9/19/2019,12:19:00 AM,LASSONDE BUILDING,"Mischief, Under $5000",University Property,Security responded to a report that a fire extinguisher had been discharged without cause inside a basement level washroom. The Work Control Centre was notified.
2019-002410,9/19/2019,12:44:00 AM,CENTRE FOR FILM and THEATRE,Suspicious Persons,Subject not Identified,Security responded to a report of individuals on the roof of the building. The area was checked and all appeared to be in order.
2019-002409,9/19/2019,1:55:00 AM,FOUNDERS RESIDENCE,"Disturbance, Causing",Dispute,Security and Residence Life staff responded to a report that two residents were involved in a dispute. The dispute was resolved and no further action was required.
2019-002415,9/19/2019,11:08:00 AM,ROSS BUILDING - SOUTH TOWER,Fraud,Attempt,Security responded to a report regarding fraudulent activity that involved a suspicious email message received at a university office. No loss was reported. Toronto Police was notified.
2019-002413,9/19/2019,11:30:00 AM,SCHULICH SCHOOL OF BUSINESS,Emergency Medical,Sudden Illness,Security responded to a report that a community member had been stung by a bee. First aid was provided on scene. Further medical care was declined.
2019-002414,9/19/2019,11:56:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),"Mischief, Under $5000",Private Property,Complainant reported their vehicle was scratched and the muffler tampered with while parked in the garage.
2019-002416,9/19/2019,1:36:00 PM,VARI HALL,"Theft, Under $5000",Private Property,Complainant reported the theft of a chair from a third floor office.
2019-002417,9/19/2019,4:17:00 PM,SCOTT LIBRARY,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report that a community member had experienced a seizure. EMS transported the individual to hospital for further medical care."
2019-002419,9/19/2019,4:24:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Suspicious Persons,Subject not Identified,A community member reported several unknown individuals knocking on and attempting to enter their apartment entrance door. Housing was notified.
2019-002418,9/19/2019,4:58:00 PM,VANIER RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff, Toronto Fire and EMS responded to a report that a community member became ill after consuming a cannabis product. EMS assessed the individual on scene. Further medical care was declined."
2019-002420,9/19/2019,6:38:00 PM,VANIER RESIDENCE,Suspicious Persons,Subject not Identified,Residence Life staff reported an encounter with an unknown male who claimed to be a resident. A description of the male was obtained.
2019-002421,9/19/2019,8:14:00 PM,FOUNDERS COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep inside a first floor classroom. The individual was identified and escorted off campus.
2019-002422,9/19/2019,9:10:00 PM,CHEMISTRY BUILDING,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended in a second floor hallway.
2019-002423,9/19/2019,11:02:00 PM,YORK LANES RETAIL,Disorderly Behaviour,Intoxicated Person,Security responded to a report of an intoxicated patron causing a disturbance inside a licenced establishment. The individual was identified as a community member. He was left in the care of a friend and both were directed to leave campus.
2019-002424,9/20/2019,12:02:00 AM,CENTRAL UTILITIES BUILDING,Fire Alarm,Unfounded,Toronto Fire requested assistance regarding a report of smoke near The Chimneystack Road. The source was determined to be steam emanating from the Central Utilities cooling tower.
2019-002428,9/20/2019,3:22:00 AM,SCOTT RELIGIOUS CENTRE,"Disturbance, Causing",Loitering,A Security patrol encountered a community member asleep in the building. The individual was identified and directed to leave the building.
2019-002426,9/20/2019,3:27:00 AM,VANIER RESIDENCE,Trespass to Property Act,Community Member,Security and Residence Life staff responded to a report that a non-community member was found asleep in a basement level hallway. The individual was identified and trespassed from campus.
2019-002427,9/20/2019,3:58:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a lecture hall. The individual was identified and directed to leave campus.
2019-002429,9/20/2019,8:48:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was loitering inside a second floor washroom. The individual was identified and escorted off campus.
2019-002432,9/20/2019,12:34:00 PM,PARKING LOT - VANIER VISITORS,Motor Vehicle Incident,Fail to Remain,A community member reported they were forced off their skateboard when a vehicle traveling at a high rate of speed nearly struck them and fled the scene. No injuries were reported. A description of the vehicle was obtained.
2019-002434,9/20/2019,1:00:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a locker room.
2019-002435,9/20/2019,4:43:00 PM,CURTIS LECTURE HALLS,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a washroom.
2019-002433,9/20/2019,1:14:00 PM,IGNAT KANEFF BUILDING (OSGOODE HALL LAW SCHOOL),Emergency Medical,Sudden Illness,Security responded to a report of a community member experiencing symptoms of anxiety. EMS was declined.
2019-002438,9/21/2019,12:23:00 AM,GLENDON COLLEGE - ROADWAY,Motor Vehicle Incident,Fail to Obey Regulatory Signs,Security and Toronto Parking Authority responded to a report of vehicles parked in the fire route at Wood Residence.
2019-002440,9/21/2019,3:36:00 AM,FOUNDERS RESIDENCE,Information,Health & Safety Concern,Security and Residence Life staff responded to assist an intoxicated community member. Medical care was not required and the community member was left in the care of Residence Life staff.
2019-002443,9/22/2019,2:59:00 AM,CAMPUS WALK,Emergency Medical,Injury,Security and EMS responded to a report that a community member fell and sustained a head injury. First aid was provided on scene. EMS transported the individual to hospital for further medical care.
2019-002444,9/22/2019,8:10:00 AM,ACCOLADE EAST,"Disturbance, Causing",Loitering,A Security patrol encountered a community member asleep inside a basement level classroom. The individual was identified and directed to leave the building.
2019-002445,9/22/2019,9:04:00 AM,PARKING LOT 1 - YORK BLVD,Motor Vehicle Incident,Fail to Remain,A Security patrol discovered damage to an electrical cabinet located in the parking lot. The cabinet appeared to have been struck by a vehicle. The Work Control Centre was notified.
